#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 02 03 23 50 266  0.6  1.9  0.00 99.00  4.22 999 1013.2   8.2   9.7   0.8 99.0 99.00
2013 02 04 00 50 253  1.5  1.9  0.00 99.00  4.46 999 1013.5   7.7   9.2  -0.2 99.0 99.00
2013 02 04 01 50 257  1.3  1.7  0.00 99.00  4.24 999 1013.9   7.9   8.7   0.4 99.0 99.00
2013 02 04 02 50 262  1.0  1.7  0.00 99.00  4.24 999 1014.4   7.5   8.3  -0.4 99.0 99.00
2013 02 04 03 50 263  0.6  1.5  0.00 99.00  4.33 999 1014.6   7.4   7.9   2.3 99.0 99.00
2013 02 04 04 50 340  4.7  6.3  0.00 99.00  4.45 999 1015.3   6.8   7.7   0.2 99.0 99.00
2013 02 04 05 50 343  4.3  5.6  0.00 99.00  4.65 999 1015.6   5.9   7.2   0.2 99.0 99.00
2013 02 04 06 50 349  3.8  4.9  0.00 99.00  4.52 999 1016.3   5.2   6.8  -0.5 99.0 99.00
2013 02 04 07 50 350  3.4  4.7  0.00 99.00  4.46 999 1016.7   4.9   6.4  -1.2 99.0 99.00
2013 02 04 08 50 338  4.2  6.4  0.00 99.00  4.68 999 1017.4   4.8   6.2  -2.3 99.0 99.00
2013 02 04 09 50 339  4.9  6.6  0.00 99.00  4.47 999 1018.0   4.1   5.8  -2.9 99.0 99.00
2013 02 04 10 50 335  3.3  4.8  0.00 99.00  4.35 999 1018.6   3.6   5.3  -3.9 99.0 99.00
2013 02 04 11 50 341  3.0  4.1  0.00 99.00  4.87 999 1019.0   3.3   5.0  -4.1 99.0 99.00
2013 02 04 12 50 347  2.5  3.5  0.00 99.00  4.57 999 1019.6   3.0   4.8  -3.8 99.0 99.00
2013 02 04 13 50 360  3.4  4.6  0.00 99.00  4.21 999 1020.5   3.4   5.1  -4.9 99.0 99.00
2013 02 04 14 50   1  3.4  5.4  0.00 99.00  4.31 999 1020.8   4.0   5.4  -5.0 99.0 99.00
2013 02 04 15 50   8  3.6  5.6  0.00 99.00  4.42 999 1021.1   4.8   6.0  -6.5 99.0 99.00
2013 02 04 16 50 347  3.5  5.3  0.00 99.00  4.68 999 1020.5   5.6   6.6  -6.1 99.0 99.00
2013 02 04 17 50 324  1.6  2.7  0.00 99.00  4.48 999 1019.8   6.7   7.3  -6.5 99.0 99.00
2013 02 04 18 50   3  0.5  1.5  0.00 99.00  4.47 999 1019.4   7.8   8.0  -6.8 99.0 99.00
2013 02 04 19 50 204  2.3  3.7  0.00 99.00  4.42 999 1019.2   7.1   8.3  -4.3 99.0 99.00
2013 02 04 20 50 201  1.8  2.7  0.00 99.00  4.28 999 1018.7   7.0   8.4  -4.0 99.0 99.00
2013 02 04 21 50 206  1.6  2.6  0.00 99.00  4.62 999 1018.5   7.0   8.3  -3.5 99.0 99.00
2013 02 04 22 50 212  1.4  2.6  0.00 99.00  4.47 999 1019.1   6.9   8.1  -2.4 99.0 99.00
2013 02 04 23 50 193  2.5  4.4  0.00 99.00  4.97 999 1019.4   7.5   8.0  -1.3 99.0 99.00
2013 02 05 00 50 189  3.3  5.1  0.00 99.00  4.50 999 1019.0   8.0   8.0  -1.4 99.0 99.00
2013 02 05 01 50 191  3.0  5.1  0.00 99.00  4.19 999 1018.8   8.4   8.1  -0.1 99.0 99.00
2013 02 05 02 50 191  2.3  4.1  0.00 99.00  4.37 999 1018.2   8.9   8.3   2.0 99.0 99.00
2013 02 05 03 50 203  2.2  3.3  0.00 99.00  4.36 999 1018.0   9.6   8.6   2.7 99.0 99.00
2013 02 05 04 50 216  2.7  4.1  0.00 99.00  4.56 999 1017.9  10.1   8.9   4.2 99.0 99.00
2013 02 05 05 50 236  3.0  3.9  0.00 99.00  4.40 999 1017.5  10.4   9.2   5.4 99.0 99.00
2013 02 05 06 50 286  0.8  2.8  0.01 99.00  4.86 999 1017.1   9.0   9.1   4.5 99.0 99.00
2013 02 05 07 50 254  0.4  1.5  0.00 99.00  4.35 999 1016.3   8.6   8.9   3.3 99.0 99.00
2013 02 05 08 50 244  1.2  1.7  0.00 99.00  4.44 999 1015.7   8.5   8.7   3.4 99.0 99.00
2013 02 05 09 50 246  1.0  2.1  0.00 99.00  4.24 999 1015.5   8.3   8.6   3.7 99.0 99.00
2013 02 05 10 50 234  1.0  1.4  0.00 99.00  4.38 999 1015.4   8.3   8.5   3.5 99.0 99.00
2013 02 05 11 50 245  2.2  3.0  0.00 99.00  4.78 999 1015.9   8.4   8.5   4.0 99.0 99.00
2013 02 05 12 50 240  1.7  3.3  0.00 99.00  4.54 999 1016.4   8.7   8.5   4.0 99.0 99.00
2013 02 05 13 50 164  0.5  2.9 99.00 99.00 99.00 999 1017.0  11.2   9.0   5.0 99.0 99.00
2013 02 05 14 50 205  0.5  1.7 99.00 99.00 99.00 999 1017.1  11.3  10.5   4.2 99.0 99.00
2013 02 05 15 50 265  3.6  8.5 99.00 99.00 99.00 999 1017.1  10.8  11.6   5.6 99.0 99.00
2013 02 05 16 50 269  0.8  2.4 99.00 99.00 99.00 999 1016.2  11.4  12.0   4.9 99.0 99.00
2013 02 05 17 50 274  2.1  3.7 99.00 99.00 99.00 999 1015.0  12.0  13.5   4.9 99.0 99.00
2013 02 05 18 50 318  2.0  3.7 99.00 99.00 99.00 999 1014.1  13.3  15.9   5.6 99.0 99.00
2013 02 05 19 50 253  1.7  3.5 99.00 99.00 99.00 999 1013.6  14.5  17.7   6.8 99.0 99.00
2013 02 05 20 50 226  2.3  6.3 99.00 99.00 99.00 999 1013.4  14.5  18.2   7.6 99.0 99.00
2013 02 05 21 50 256  2.6  5.2 99.00 99.00 99.00 999 1013.0  14.2  16.4   8.5 99.0 99.00
2013 02 05 22 50 250  3.4  5.8 99.00 99.00 99.00 999 1012.7  14.4  14.5   9.1 99.0 99.00
2013 02 05 23 50 270  3.1  6.9 99.00 99.00 99.00 999 1013.6  14.3  14.1  10.1 99.0 99.00
2013 02 06 00 50 283  4.5  7.3 99.00 99.00 99.00 999 1014.5  13.7  13.7  10.5 99.0 99.00
2013 02 06 01 50 281  3.9  6.4 99.00 99.00 99.00 999 1014.8  14.1  13.6  10.7 99.0 99.00
2013 02 06 02 50 274  3.8  6.6 99.00 99.00 99.00 999 1015.3  14.1  13.5  10.9 99.0 99.00
2013 02 06 03 50 276  4.7  7.9 99.00 99.00 99.00 999 1015.5  13.7  13.5  11.0 99.0 99.00
2013 02 06 04 50 282  4.5  6.2 99.00 99.00 99.00 999 1015.7  13.1  13.2  10.7 99.0 99.00
2013 02 06 05 50 288  3.9  4.8 99.00 99.00 99.00 999 1016.0  12.7  12.8  10.6 99.0 99.00
2013 02 06 06 50 267  2.5  4.1 99.00 99.00 99.00 999 1016.3  12.3  12.5  10.7 99.0 99.00
2013 02 06 07 50 270  3.1  5.5 99.00 99.00 99.00 999 1016.2  13.1  12.5  11.1 99.0 99.00
2013 02 06 08 50 278  3.3  5.8 99.00 99.00 99.00 999 1016.6  13.7  12.7  11.2 99.0 99.00
